"name","label","data_type","value_labels","n_missing","complete_rate","n_unique","empty","min","median","max","mean","sd","whitespace","hist","format.spss","display_width"
"CASEID","ICPSR Sequential record identifier","numeric",,0,1,,,"    1.0"," 5656","  11311",5656,3265.34878177916,,"▇▇▇▇▇","F5.0",
"N2","Store ID","character",,0,1,54,0,"5",,"5",,,0,,"A5","7"
"Q1","Q1. Please enter today's date (mm/dd/yy)","character",,0,1,138,568,"0",,"11",,,0,,"A11","13"
"Q2","Q2. Are you male or female","numeric","1. Female,
2. Male",70,0.993811334099549,,,"    1.0","    2","      2",1.64860777510898,0.477426440802418,,"▅▁▁▁▇","F1.0","4"
"Q3","Q3. What is your age?","numeric",,284,0.974891698346742,,,"    0.0","   36","     95",38.2806747075361,13.593080605858,,"▁▇▅▂▁","F2.0","4"
"Q4","Q4. How do you describe yourself? Race/Ethnicity (Check all that apply)","numeric","1. Latino/Latina,
2. Black, African American,
3. White,
4. Asian or Asian American,
5. Pacific Islander,
6. American Indian or Alaska Native,
7. Some other race or ethnicity,
12. Latino/Latina and Black, African American,
13. Latino/Latina and White,
16. Latino/Latina and American Indian or Alaska Native,
17. Latino/Latina and some other race or ethnicity,
23. Black, African American and White,
24. Black, African American and Asian or Asian American,
25. Black, African American and Pacific Islander,
26. Black, African American and American Indian or Alaska Native,
27. Black, African American and some other race or ethnicity,
34. White and Asian or Asian American,
36. White and American Indian or Alaska Native,
37. White and some other race or ethnicity,
47. Asian or Asian American and some other race or ethnicity,
56. Pacific Islander and American Indian or Alaska Native,
123. Latino/Latina, Black, African American, and White,
126. Latino/Latina, Black, African American, and American Indian or Alaska Native,
127. Latino/Latina, Black, African American, and Some other race or ethnicity,
236. Black, African American, White, and American Indian or Alaska Native,
245. Black, African American, Asian or Asian American, and Pacific Islander,
2367. Black, African American, White, American Indian or Alaska Native, and some other race or ethnicity,
1234567. All options selected",28,0.99752453363982,,,"    1.0","    2","1234567",221.79455818488,16436.0671402877,,"▇▁▁▁▁","F7.0","9"
"Q5","Q5. What is your highest level of education? (Check one)","numeric","1. Associate's degree or technical school certificate,
2. Bachelor's degree,
3. High school diploma or GED,
4. Less than a high school diploma,
5. Some college or technical school,
6. Some graduate school or graduate degree",2393,0.788436035717443,,,"    1.0","    2","      6",2.40031397174254,1.11936872022784,,"▇▃▁▁▁","F1.0","4"
"Q6","Q6. Are you currently working for pay at a full-time job or are you not working for pay","numeric","1. Yes, working,
2. No, not working for pay",253,0.977632393245513,,,"    1.0","    1","      2",1.32763610056068,0.469372569882126,,"▇▁▁▁▃","F1.0","4"
"Q7","Q7. Are you (Marital Status)","numeric","1. Married,
2. Divorced,
3. Living with partner,
4. Separated,
5. Widowed,
6. Never married",1608,0.857837503315357,,,"    1.0","    5","      6",3.79439348655055,2.25358037597829,,"▇▁▂▁▇","F1.0","4"
"Q8","Q8. What was your household income last year? (Check one)","numeric","1. Below $10,000,
2. From $10,000 to $19,999,
3. From $20,000 to $34,999,
4. From $35,000 to $49,999,
5. From $50,000 to $74,999,
6. $75,000 or over",125,0.988948810892052,,,"    1.0","    3","      6",3.29340246736993,1.32163500906716,,"▇▅▅▃▂","F1.0","4"
"Q9","Q9. How often do you visit this store or restaurant?","numeric","1. Almost every day (5-7 x/week),
2. A few days per week (2-4 x/week),
3. About once a week,
4. Occasionally (1-3x per month),
5. Seldom (less than once a month),
6. Rarely (a few times a year or less)",71,0.993722924586686,,,"    1.0","    2","      6",2.50249110320285,1.2863084383008,,"▇▃▂▁▁","F1.0","4"
"Q10","Q10. Yesterday, how much regular soda did you drink?","numeric","1. I did not drink regular soda yesterday,
2. 1 can or less (1 cup=8oz, 1 can=12 oz),
3. 2 cans (about one 20-oz bottle or 2.5 cups),
4. 3 cans (about two 20-oz bottles or 4.5 cups),
5. 4 or more cans (48 oz or more)",66,0.994164972151003,,,"    1.0","    2","      5",2.30449088483771,1.20864251164101,,"▇▆▆▂▂","F1.0","5"
"Q11","Q11. Yesterday, how much diet soda did you drink?","numeric","1. I did not drink diet soda yesterday,
2. 1 can or less (1 cup=8oz, 1 can=12 oz),
3. 2 cans (about one 20-oz bottle or 2.5 cups),
4. 3 cans (about two 20-oz bottles or 4.5 cups),
5. 4 or more cans (48 oz or more)",122,0.989214039430643,,,"    1.0","    1","      5",1.52435427652158,0.964076481720754,,"▇▂▁▁▁","F1.0","5"
"Q12","Q12. Yesterday, how many sports or energy drinks did you drink?","numeric","1. I did not drink sports or energy drinks yesterday,
2. 1 can or less (1 cup=8oz, 1 can=12 oz),
3. 2 cans (about one 20-oz bottle or 2.5 cups),
4. 3 cans (about two 20-oz bottles or 4.5 cups),
5. 4 or more cans (48 oz or more)",281,0.975156926885333,,,"    1.0","    1","      5",1.77579329102448,1.12233552489363,,"▇▂▂▁▁","F1.0","5"
"Q13","Q13. Yesterday, how much 100% fruit juice, like orange or apple juice, did you drink?","numeric","1. I did not drink 100% fruit juice yesterday,
2. 1 can or less (1 cup=8oz, 1 can=12 oz),
3. 2 cans (about one 20-oz bottle or 2.5 cups),
4. 3 cans (about two 20-oz bottles or 4.5 cups),
5. 4 or more cans (48 oz or more)",290,0.974361241269561,,,"    1.0","    2","      5",2.02767443970602,1.10552807001975,,"▇▆▃▁▁","F1.0","5"
